Date,Total Monthly Bandwidth Usage
2020-04,1660.5615
2020-05,2320.675738
2020-06,1672.673762
2020-07,2537.102647
2020-08,2796.002386
2020-09,2730.282635
2020-10,4363.837024
2020-11,1436.877755
2020-12,2120.9753
2021-01,315.4872363
