Subuser,Date,Bandwidth Usage (GB)
merenyia253011,2020-09,0.677304688
junlongkongd8956,2020-04,0.002194336
ugb1412976fa,2020-05,13.83187207
jasonnieto599179,2020-10,0.853426758
oliverpua16f66,2020-06,5.750793945
xinxiaodada2268e,2020-09,7.735073242
carsonmanalanga6b6,2020-08,1.165743164
jamesgmn2191eb,2020-11,0.007701172
mvp10254d176,2020-07,2.055112305
coastalkicks401b0ed,2021-01,0.011104492
zweidee68a6,2020-10,0.63172168
contactluke74b4,2020-07,0.081881836
mylesdavis1378e06,2020-04,0.000384766
dylannguyen007472a6,2020-05,1.548716797
solecrawler7dfa,2020-06,0.000226563
poochmackeycf376,2020-07,0.54309082
evanhuang71157ca,2020-10,1.450232422
davidduong1232cb1zz,2021-12,0.294522461
slashproxypersonal18cf,2020-07,0.001044922
ibialabed0fbc,2020-09,1.438555664
mccraybryant8809a7,2020-09,1.491307617
josephveselyef14,2020-07,1.968446289
angelnunez198633ae,2020-07,0.031229492
gwenceslao454a786,2020-04,1.743203125
chris20190896b4,2020-08,4.384274414
zachlang11ec9e,2020-10,0.07747168
bairdbaird2005b621,2020-12,0.000365234
nbsnkrz6e7d,2020-08,1.56147168
sneakershq20cf96,2020-07,0.331895508
wpgshaun124b6,2020-12,8.188368164
aolomu7865,2020-12,0.78765918
brianhernandez135e0cf,2020-04,0.960289063
samirwellington2334c3,2020-08,4.267620117
cameronriouxec78,2020-08,2.200845703
jsumidabb3dcd,2020-06,0.096424805
yulongxiao0421787b6,2020-10,2.470066406
arkngel123459858,2020-08,2.191726563
aquarianprototypecd0a6,2020-08,1.37E-05
den4ik25top5v796,2020-08,0.461992188
trecroce145d9d,2020-07,0.601845703
lmilanka1118820,2020-10,1.856148438
eliotshehu0ea96,2020-05,0.00019043
ilikesneakse0fb6,2020-05,13.7562373
stock0afd,2020-11,0.008015625
mynameisfaydic93b,2020-12,0.536207031
divineninja123a02d,2020-09,0.406426758
yaamirahmedb6926,2020-05,0.203530273
dannylee9683f9f,2020-11,1.113490234
joef42295d56,2020-07,2.306671875
tyleryu9876543216a9f6,2020-05,0.007985352
ivanemi99572f6,2020-07,1.079166016
briggs_spencerdaa16,2020-06,0.333852539
bishoskickz99cb6,2020-05,1.309072266
curtisrm1aa3zzxz,2022-01,0.202741211
bebepferrer510106d6,2020-10,0.221552734
cdizilj74b0,2020-07,0.165316406
jerryluan2004164ezz,2021-12,0.000148438
dovyboy0105a4,2020-08,0.246859375
hockeyguykyf95c6,2020-12,17.3319668
grahammgreen272f,2022-01,0.10684668
johnnyhermosillo24c18,2020-04,1.643652344
henryzhang96bb8f,2020-09,0.011985352
mdchaison1999cf726,2020-05,1.122180664
279975zz,2021-12,1.710612305
kostarestoed2e6,2020-06,0.460950195
jumpmanonly12347a0b,2020-05,0.224835938
ksd5501004bac6,2020-09,0.193635742
popisteanudanield16b6,2020-04,4.696033203
tmedvec35cb6,2020-06,0.000953125
corrales2b3990,2020-09,1.118805664
poochmackeycf376,2020-06,0.09050293
pscamscod3616,2020-07,1.788899414
jpietersan9f1b6,2020-06,0.757400391
markaycruze938,2020-06,0.165745117
1191235272eeb06,2020-07,1.388648438
josequinonesjose7806a26,2020-07,0.443479492
bennyho2405f7cb,2020-08,0.245693359
beatsbyvegamain6808,2021-01,0.146220703
jasonkral20de,2020-12,0.008944336
spidaman4748e074,2020-05,0.250816406
yukio233e5a,2020-12,5.631930664
majdvictor7743,2021-01,0.265557617
zacharykrauss222946,2020-08,0.113945313
andreifernandez93618,2020-05,2.293560547
westlakebenab4f,2020-04,0.938705078
lucasclodic358cb5,2020-06,0.077547852
tanchuanzhen219652,2020-05,1.183225586
jhnyhota2d0zz,2021-12,3.000916992
zackchen2014c8a76,2020-04,0.804573242
apbswegaebb,2020-12,1.262435547
paopaomax23138b,2020-12,2.397124023
pizobusiness2afd,2020-04,0.997912109
czlshizz1990ba0a,2020-10,0.229085938
supremakickz203392,2020-05,0.549467773
trchryyb6076,2020-06,0.020779297
kimx4266515c,2020-10,2.622538086
nav411f6,2020-04,0.255624023
hpp73052f5,2020-05,0.324345703
hiimphan90e4,2020-11,0.023623047
yugary0019bd56,2020-07,0.060067383
braydonp33d3e8,2020-08,1.998958008
adrianmakara9231,2020-12,0.002227539
stevenperezbadillodbf4,2020-12,0.018976563
marklinn4234e32zz,2021-12,0.100279297
gosnguyen201857a6,2020-08,4.467620117
