Subuser,Date,"Bandwidth Usage"
282738zz,2021-12,0.044400391
282741zzxz,2022-01,0.953385742
282754zzxz,2022-01,1.980908203
282835zz,2021-12,1.630375977
282835zzxz,2022-01,0.041352539
282840zz,2021-12,7.235586914
282853zzxz,2022-01,2.953595703
282873zz,2021-12,10.68208301
282873zzxz,2022-01,23.47802637
282894zzxz,2022-01,0
282895zz,2021-12,4.532580078
282895zzxz,2022-01,3.460681641
282899zz,2021-12,1.387922852
282899zzxz,2022-01,3.151674805
282903zz,2021-12,0.025286133
282924zzxz,2022-01,0.117154297
282925zz,2021-12,0.0000479
282925zzxz,2022-01,1.729019531
282931zzxz,2022-01,0.010751953
282991zzxz,2022-01,1.530864258
283001zz,2021-12,5.283138672
283001zzxz,2022-01,1.287496094
283012zz,2021-12,4.909208008
283014zz,2021-12,2.894142578
283060zzxz,2022-01,0.451592773
283115zz,2021-12,0.489814453
283115zzxz,2022-01,0.502862305
283147zzxz,2022-01,0.061583008
283165zzxz,2022-01,0.21056543
283216zzxz,2022-01,2.002397461
283222zzxz,2022-01,0.001359375
283236zz,2021-12,3.48930957
283236zzxz,2022-01,13.6203584
283301zzxz,2022-01,1.310477539
283358zz,2021-12,0.01515918
283358zzxz,2022-01,2.00303125
283382zz,2021-12,0.207069336
283419zz,2021-12,0.641324219
283439zz,2021-12,0.353963867
283439zzxz,2022-01,1.901336914
283464zz,2021-12,4.01775
283505zz,2021-12,5.223641602
283505zzxz,2022-01,1.799920898
283523zzxz,2022-01,3.360220703
283541zz,2021-12,0.856361328
283541zzxz,2022-01,0.497322266
283550zzxz,2022-01,3.191986328
283551zzxz,2022-01,2.002662109
283573zz,2021-12,7.304929688
283588zz,2021-12,2.064862305
283588zzxz,2022-01,1.655063477
283595zz,2021-12,1.482362305
283595zzxz,2022-01,7.178046875
283639zz,2021-12,2.587166992
283639zzxz,2022-01,0.940249023
283697zzxz,2022-01,1.951748047
284836zzxz,2022-01,0.643035156
298499zz,2021-12,0.004145508
298499zzxz,2022-01,1.905111328
2kgraphicz0ada,2020-09,0.468074219
2kgraphicz0ada,2020-10,1.069582031
2kgraphiczed59,2020-06,0.450572266
2kgraphiczed59,2020-07,0.74824707
2kgraphiczed59,2020-08,1.190246094
2kgraphiczed59,2020-11,3.681529297
2kgraphiczed59,2020-12,3.406615234
2kgraphiczed59,2021-01,0.246113281
2nejong1c47azz,2021-12,0.043473633
2pro223025f6,2021-01,15.12979102
2randomperson78a7a,2020-08,0.18727832
2randomperson78a7a,2020-09,2.191037109
301238zz,2021-12,0.039814453
301238zzxz,2022-01,0.200990234
302solezze287,2020-10,3.360356445
304222zzxz,2022-01,2.012217773
305643zzxz,2022-01,2.371512695
306074zzxz,2022-01,1.722508789
307613zz,2021-12,0.731686523
309869zzxz,2022-01,1.680189453
309889zzxz,2022-01,7.640308594
311587zz,2021-12,0.299076172
311587zzxz,2022-01,4.025178711
312432zzxz,2022-01,0.062651367
312876zzxz,2022-01,0.073050781
316612zzxz,2022-01,1.98203418
318003zz,2021-12,0.827293945
322009zz,2021-12,2.002348633
322009zzxz,2022-01,4.325644531
330659400c6836,2020-04,2.665916992
334263zz,2021-12,1.999924805
345342zz,2021-12,0.507111328
345342zzxz,2022-01,0.800117188
35228407ae026,2020-04,1.08975293
35228407ae026,2020-05,0.974697266
361369zz,2021-12,3.236868164
3617805332c01,2020-04,0.943854492
3617805332c01,2020-05,1.287530273
3617805332c01,2020-06,1.118994141
3617805332c01,2020-07,3.015077148
3617805332c01,2020-09,6.05643457
37082219928a96,2020-04,4.812532227
37082219928a96,2020-05,3.470249023
370822199ff42,2020-06,9.001130859
370822199ff42,2020-07,9.080708008
370822199ff42,2020-08,5.341819336
374197zzxz,2022-01,1.751608398
415914zz,2021-12,0.000297852
415914zzxz,2022-01,8.193462891
417481zzxz,2022-01,0.284128906
419673zz,2021-12,1.315717773
419673zzxz,2022-01,3.481022461
420028zz,2021-12,0.518313477
427699zzxz,2022-01,37.84911328
440648zz,2021-12,3.450089844
449781zz,2021-12,9.348304688
450367337e7ff,2020-08,3.580193359
450367337e7ff,2020-09,12.10099609
456snkrs7ff6zz,2021-12,2.001864258
456snkrs9a2c,2020-07,1.319480469
457154zzxz,2022-01,0.015457031
471330zz,2021-12,9.2735
471330zzxz,2022-01,0.008117188
476503zz,2021-12,0.246689453
476503zzxz,2022-01,0.015226563
491269zzxz,2022-01,2.851811523
502585509f816,2020-12,1.669412109
502585509f816,2021-01,0.052733398
504kickzfe72,2020-11,2.961524414
504kickzfe72,2020-12,3.504751953
520wangzherongyaodf126,2020-05,0.015322266
520wangzherongyaodf126,2020-06,0.010375
520wangzherongyaodf126,2020-07,3.826904297
53110cudahy8cbf,2020-10,3.478337891
537506zz,2021-12,0.0000361
546129499c6a8,2020-08,14.87481055
546129499c6a8,2020-09,2.762077148
546129499c6a8,2020-10,4.183916992
546578zz,2021-12,1.421585938
546578zzxz,2022-01,3.473791992
5746638191e4b,2020-08,0.723833008
5746638191e4b,2020-09,1.517485352
5746638191e4b,2020-10,3.99634375
5746638191e4b,2020-11,0.780535156
5746638191e4b,2020-12,0.004111328
5950bakera35e,2020-11,0.054081055
5950bakera35e,2020-12,0.721493164
5950bakera35e,2021-01,0.026299805
5mindump11e1,2020-10,1.026441406
5mindump11e1,2020-11,0.300855469
5mindump11e1,2020-12,0.962857422
5mindump74ea,2020-12,0.037046875
6.46E+11,2020-06,0.002868164
6.46E+11,2020-07,0.139391602
6.46E+11,2020-08,0.322907227
6.46E+11,2020-09,0.010975586
6.46E+11,2020-10,0.679530273
6.46E+11,2020-11,2.794036133
6.46E+11,2020-12,1.09377832
6.46E+11,2021-01,0.01653125
616388zzxz,2022-01,0.985902344
656012zz,2021-12,30.42391699
656012zzxz,2022-01,10.55517676
656162zz,2021-12,7.475873047
656162zzxz,2022-01,0.323429688
670094zz,2021-12,3.018994141
670094zzxz,2022-01,7.279555664
7.83E+12,2020-12,1.29706543
7.83E+12,2021-01,0.132960938
707329182cd136,2020-04,0.224837891
